title,labels,milestone,sprint
"Epic: Core Orchestration & Data Model","type:epic,area:orchestration,phase:foundation","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
"Design Supabase schema for workspaces, projects, runs, artefacts","type:feature,area:orchestration,area:storage-rag,phase:foundation","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
"Implement FastAPI API gateway skeleton (auth, multi-tenant routing, rate limiting)","type:feature,area:orchestration,phase:foundation","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
"Implement LangGraph-based orchestrator service","type:feature,area:orchestration,phase:foundation","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
"Set up Redis worker pool for agent execution","type:feature,area:orchestration,area:infra,phase:foundation","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
"Epic: Agent Implementations v0","type:epic,area:agents,phase:foundation","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
"Implement SpecAgent with RAG over Solidity/security docs","type:feature,area:agents,area:storage-rag,phase:foundation","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
"Implement CodeGenAgent with composite model routing","type:feature,area:agents,phase:foundation","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
"Implement AuditAgent wiring Slither/Mythril/MythX/Echidna","type:feature,area:agents,area:security,phase:foundation","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
"Implement DeployAgent using Hardhat/Foundry and Thirdweb","type:feature,area:agents,area:chain-adapter,phase:foundation","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
"Implement MonitorAgent stub integrating Tenderly and OpenTelemetry","type:feature,area:agents,area:observability,phase:foundation","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
"Epic: Protocol Labs Verifiable Factory preset","type:epic,area:chain-adapter,area:storage-rag,phase:foundation,chain:protocol-labs,preset:verifiable-factory","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
"Implement IPFS/Filecoin storage-service for artefacts","type:feature,area:storage-rag,phase:foundation,chain:protocol-labs,preset:verifiable-factory","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
"Implement EigenDA v0 integration for verifiable traces","type:feature,area:storage-rag,area:observability,phase:foundation,chain:protocol-labs,preset:verifiable-factory","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
"Add VerifiableFactory preset configuration and registry entry","type:feature,area:agents,phase:foundation,chain:protocol-labs,preset:verifiable-factory","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
"UI: New Project flow for Protocol Labs Verifiable Factory","type:feature,area:frontend,phase:foundation,chain:protocol-labs,preset:verifiable-factory","Phase 1 – Sprint 1 (Feb 5–17)","Sprint 1"
